file,season,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099
MPI-M-MPI-ESM-LR_rcp26_r1i1p1_KNMI-RACMO22E_SC_4,NA,rcp26,KNMI,SC,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,MPI-ESM-LR_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4_IP_3,NA,rcp45,SMHI,IP,3,78.167854,4.917565,272.1707,14.859738,6227419600.0,42.07206,4.4768243,273.96472,10.380065,4357128000.0,25.917484,4.818712,274.74747,8.678759,3649866500.0,IPSL-CM5A-MR_r1,-36.095795,-46.177288,-0.4407406,-8.962578,1.7940369,-4.4796734,-30.146381,-1870291500.0,-52.25037,-66.84381,-0.098852634,-2.0101948,2.5767822,-6.1809797,-41.59548,-2577553200.0
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_ICTP-RegCM4-6_IP_1,NA,rcp85,ICTP,IP,1,0.17671923,2.352846,279.0239,0.13971896,1288015900.0,0.056472097,2.4392169,279.97302,0.044444446,410405980.0,0.010409524,2.4406593,282.1073,0.007964932,74951820.0,CNRM-CM5_r1,-0.12024714,-68.044174,0.086370945,3.6709137,0.9491272,-0.09527452,-68.19012,-877609860.0,-0.16630971,-94.10957,0.08781338,3.7322197,3.0834045,-0.13175403,-94.29932,-1213064100.0
MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17_EU_4,NA,rcp45,CLMcom,EU,4,404.50507,5.3309755,266.75378,28.70231,27105200000.0,363.39206,5.602957,268.0847,27.88258,26331083000.0,265.66486,5.5616198,269.2553,25.19822,23796090000.0,HadGEM2-ES_r1,-41.113007,-10.163781,0.27198124,5.101904,1.3309021,-0.81973076,-2.855975,-774117400.0,-138.84021,-34.32348,0.23064423,4.326492,2.5015259,-3.5040913,-12.208394,-3309109200.0
MPI-M-MPI-ESM-LR_rcp85_r3i1p1_SMHI-RCA4_EU_3,NA,rcp85,SMHI,EU,3,152.69325,6.348785,269.00327,21.545048,41108210000.0,96.82759,6.4789457,270.827,17.983664,34362290000.0,32.597755,6.7350473,274.08414,10.113523,19351478000.0,MPI-ESM-LR_r3,-55.86566,-36.586857,0.13016081,2.0501688,1.8237305,-3.5613842,-16.529943,-6745919500.0,-120.0955,-78.651474,0.38626242,6.0840373,5.0808716,-11.431525,-53.058712,-21756731000.0
MOHC-HadGEM2-ES_rcp85_r1i1p1_ICTP-RegCM4-6_AL_3,NA,rcp85,ICTP,AL,3,110.612755,2.3472457,268.91183,23.744633,18584375000.0,80.375374,2.710298,270.86102,19.528866,15286229000.0,22.704887,2.7835212,273.82837,9.550714,7477627000.0,HadGEM2-ES_r1,-30.237381,-27.33625,0.36305237,15.467165,1.9491882,-4.215767,-17.75461,-3298146300.0,-87.90787,-79.47354,0.43627548,18.586699,4.9165344,-14.193919,-59.77738,-11106748000.0
MOHC-HadGEM2-ES_rcp85_r1i1p1_ICTP-RegCM4-6_SC_0,NA,rcp85,ICTP,SC,0,54.103134,1.4946505,269.37332,19.373983,629116300000.0,37.140743,1.6171315,271.63763,15.171444,490233430000.0,14.246839,1.9684966,275.29547,7.298217,233458370000.0,HadGEM2-ES_r1,-16.96239,-31.351957,0.12248099,8.194624,2.2643127,-4.2025394,-21.691664,-138882880000.0,-39.856297,-73.66726,0.47384608,31.702803,5.9221497,-12.075767,-62.329807,-395657940000.0
CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_GERICS-REMO2015_SC_3,NA,rcp26,GERICS,SC,3,222.87381,2.264824,260.4291,29.22739,2413314600.0,210.4843,2.2890768,261.56454,28.800667,2378643500.0,188.03954,2.1498497,261.5837,28.168053,2326134800.0,CNRM-CM5_r1,-12.389511,-5.5589805,0.024252892,1.0708511,1.135437,-0.42672348,-1.4600122,-34671104.0,-34.834274,-15.629596,-0.11497426,-5.076521,1.154602,-1.0593376,-3.6244688,-87179780.0
ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E_EU_5,NA,rcp85,KNMI,EU,5,285.73267,2.2573907,260.9364,30.211111,149194160.0,259.5397,2.3306453,262.3605,30.116667,148752100.0,216.61047,2.4237728,265.07407,29.377777,145077500.0,EC-EARTH_r12,-26.192963,-9.166947,0.073254585,3.2451,1.4241028,-0.094444275,-0.31261438,-442064.0,-69.12219,-24.191212,0.16638207,7.370548,4.137665,-0.83333397,-2.7583692,-4116656.0
NCC-NorESM1-M_rcp85_r1i1p1_MOHC-HadREM3-GA7-05_AL_3,NA,rcp85,MOHC,AL,3,261.27493,4.0767026,268.90308,25.415623,30908514000.0,198.38774,4.3055954,270.79117,22.49737,27373940000.0,114.245285,4.282418,273.11862,16.468538,20052720000.0,NorESM1-M_r1,-62.88719,-24.069355,0.2288928,5.6146555,1.888092,-2.918253,-11.482122,-3534573600.0,-147.02965,-56.273922,0.20571518,5.046117,4.2155457,-8.947084,-35.20309,-10855795000.0
