file,month,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,pro_diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099,pro_diff_sca_2070-2099
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_IPSL-WRF381P_SC_2,Jul,rcp85,IPSL,SC,2,3.2107987,4.0483627,284.3741,0.5759300916425644,1.9197593,0.48973948,4.1486893,285.07358,0.12254953865082034,0.4084963,0.005859824,4.589397,287.2178,0.001929857723054386,0.0064328443,CNRM-CM5_r1,-2.7210593,-84.747116,0.10032654,2.4782004,0.6994629,-0.453380552991744,-78.72145587994775,-1.511263,-78.72148,-3.204939,-99.8175,0.5410342,13.364273,2.843689,-0.5740002339195099,-99.66491458754128,-1.9133264,-99.66492
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_IPSL-WRF381P_SC_2,Aug,rcp85,IPSL,SC,2,0.12215291,3.375648,282.389,0.07375213167359752,0.24583945,0.01110754,3.27537,283.98703,0.002400550931211441,0.008001694,0.0029834,3.926265,285.30267,0.0002480174166961543,0.0008267281,CNRM-CM5_r1,-0.11104537,-90.90685,-0.10027814,-2.9706337,1.5980225,-0.07135158074238608,-96.74510976599905,-0.23783775,-96.745155,-0.11916951,-97.557655,0.550617,16.311445,2.9136658,-0.07350411425690137,-99.66371491770055,-0.24501272,-99.66371
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Sep,rcp85,SMHI,AL,4,2.9236982,5.0632386,276.45377,2.4061403274536133,8.023499,1.2519298,4.71302,278.5073,1.025146245956421,3.418453,0.14086413,4.6666827,281.51352,0.10614035278558731,0.35401195,MPI-ESM-LR_r2,-1.6717684,-57.179928,-0.35021877,-6.9168925,2.0535278,-1.3809940814971924,-57.394577770062156,-4.6050453,-57.394478,-2.782834,-95.18199,-0.3965559,-7.8320603,5.0597534,-2.299999974668026,-95.58877129589885,-7.6694865,-95.587814
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Okt,rcp85,SMHI,AL,4,14.729767,5.1810956,272.65088,8.855121674076203,29.525223,8.246766,5.1400576,274.2884,6.196943867591119,20.66246,2.8568504,5.7459707,276.69537,2.274476558931412,7.5850115,MPI-ESM-LR_r2,-6.4830008,-44.01292,-0.041038036,-0.79207253,1.6375122,-2.6581778064850843,-30.018535084244274,-8.862762,-30.017597,-11.872916,-80.60492,0.5648751,10.902618,4.0444946,-6.580645115144791,-74.31456458029197,-21.940212,-74.31007
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Nov,rcp85,SMHI,AL,4,49.5324,4.557239,266.81525,21.679824829101562,72.277794,43.210068,6.4999695,269.84726,18.4874267578125,61.634087,14.428964,6.013113,272.85284,9.485087394714355,31.627222,MPI-ESM-LR_r2,-6.3223305,-12.76403,1.9427304,42.629547,3.032013,-3.1923980712890625,-14.725202331910904,-10.643707,-14.7261095,-35.103436,-70.869644,1.455874,31.946405,6.0375977,-12.194737434387207,-56.24924338880173,-40.650574,-56.242134
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Dec,rcp85,SMHI,AL,4,139.15369,4.445527,262.80396,28.94114278977917,96.47408,121.49536,5.028041,265.21503,27.371533916842555,91.24432,55.40108,6.0855527,269.25125,20.859932438019783,69.54432,MPI-ESM-LR_r2,-17.658325,-12.6898,0.5825138,13.103369,2.4110718,-1.569608872936616,-5.4234516043054715,-5.229759,-5.4208956,-83.75261,-60.187126,1.6400256,36.89159,6.447296,-8.081210351759388,-27.92291379251735,-26.929764,-27.913988
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Jan,rcp85,SMHI,AL,4,255.82295,3.7925103,260.45264,29.954443285542148,99.84835,237.42676,4.944764,262.73987,29.73174864245999,99.10682,128.17404,5.975184,266.72916,27.896151388845134,92.993225,MPI-ESM-LR_r2,-18.396194,-7.1909866,1.1522539,30.382353,2.2872314,-0.22269464308215703,-0.743444439809179,-0.7415314,-0.7426576,-127.64891,-49.89736,2.1826737,57.552216,6.27652,-2.058291896697014,-6.871407614143415,-6.8551254,-6.865537
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Feb,rcp85,SMHI,AL,4,360.59793,3.8780646,260.37186,30.01179855481713,99.98019,345.8908,5.179947,263.84888,29.86058057936947,99.59713,195.2484,5.666899,266.58774,29.09579319236553,97.03933,MPI-ESM-LR_r2,-14.707123,-4.078538,1.3018823,33.57041,3.4770203,-0.15121797544766125,-0.5038617568069395,-0.38305664,-0.38313255,-165.34953,-45.854263,1.7888346,46.12699,6.2158813,-0.9160053624515996,-3.052150842537804,-2.940857,-2.9414396
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Mar,rcp85,SMHI,AL,4,424.3647,4.381545,263.43835,29.951329385080648,99.838,419.1418,5.5713935,266.2727,29.855403900146484,99.51871,206.89928,6.0271735,268.8933,28.271646807270663,94.24413,MPI-ESM-LR_r2,-5.22287,-1.2307503,1.1898484,27.155909,2.8343506,-0.09592548493416331,-0.3202712096710662,-0.31929016,-0.31980824,-217.46541,-51.244934,1.6456285,37.558178,5.454956,-1.6796825778099844,-5.608040151455406,-5.5938644,-5.6029415
MPI-M-MPI-ESM-LR_rcp85_r2i1p1_SMHI-RCA4_AL_4,Apr,rcp85,SMHI,AL,4,424.92712,5.6754756,267.4082,29.945613861083984,99.81895,375.7711,6.095022,269.5785,29.34356689453125,97.81473,151.10823,6.2643404,271.85303,24.155847549438477,80.530624,MPI-ESM-LR_r2,-49.156036,-11.5681095,0.4195466,7.392272,2.170288,-0.6020469665527344,-2.010467941467476,-2.004219,-2.0078542,-273.8189,-64.439026,0.5888648,10.375603,4.444824,-5.789766311645508,-19.334271584826773,-19.288322,-19.323309
