file,season,exp,RCM,region,height,snw_1972-2001,pr_1972-2001,tas_1972-2001,snowday_1972-2001,sca_1972-2001,snw_2022-2051,pr_2022-2051,tas_2022-2051,snowday_2022-2051,sca_2022-2051,snw_2070-2099,pr_2070-2099,tas_2070-2099,snowday_2070-2099,sca_2070-2099,GCM,diff_snw_2022-2051,pro_diff_snw_2022-2051,diff_pr_2022-2051,pro_diff_pr_2022-2051,diff_tas_2022-2051,diff_snowday_2022-2051,pro_diff_snowday_2022-2051,diff_sca_2022-2051,pro_diff_sca_2022-2051,diff_snw_2070-2099,pro_diff_snw_2070-2099,diff_pr_2070-2099,pro_diff_pr_2070-2099,diff_tas_2070-2099,diff_snowday_2070-2099,pro_diff_snowday_2070-2099,diff_sca_2070-2099,pro_diff_sca_2070-2099
MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_AL_4,NA,rcp85,CLMcom,AL,4,350.40204,4.917877,266.90164,28.108532,93.69747,295.98593,5.1447783,268.45816,26.425594,88.09089,151.60577,5.058612,271.2237,20.467228,68.23487,HadGEM2-ES_r1,-54.416107,-15.529621,0.22690105,4.6138005,1.5565186,-1.6829376,-5.987284,-5.6065826,-5.9837074,-198.79626,-56.733765,0.14073467,2.8616955,4.322052,-7.641304,-27.184998,-25.4626,-27.175333
ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_EU_3,NA,rcp45,KNMI,EU,3,251.43764,3.6820607,267.9757,25.711432,85.197945,184.4544,3.5494702,269.20227,23.000393,76.249626,167.0487,3.6776567,270.00085,22.20973,73.66541,EC-EARTH_r1,-66.98323,-26.640099,-0.13259053,-3.6009872,1.2265625,-2.7110386,-10.544098,-8.9483185,-10.5029745,-84.38893,-33.562572,-0.004404068,-0.11960878,2.0251465,-3.5017014,-13.619239,-11.532532,-13.536162
MOHC-HadGEM2-ES_rcp26_r1i1p1_MOHC-HadREM3-GA7-05_EA_2,NA,rcp26,MOHC,EA,2,61.751762,3.020507,270.29562,17.739527,59.131805,33.812325,3.2844272,272.31036,12.817083,42.723675,23.661533,3.331968,272.93472,10.65226,35.50757,HadGEM2-ES_r1,-27.939438,-45.244762,0.26392007,8.737608,2.01474,-4.9224434,-27.748447,-16.40813,-27.748402,-38.09023,-61.682823,0.31146097,10.311545,2.6390991,-7.087267,-39.951836,-23.624237,-39.951828
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_DMI-HIRHAM5_SC_0,NA,rcp85,DMI,SC,0,46.527718,2.404915,269.59042,15.96381,52.567036,25.338642,2.5015333,271.79608,11.390406,37.52818,13.90477,2.9492972,274.2608,7.052072,23.169664,MPI-ESM-LR_r1,-21.189075,-45.540756,0.096618176,4.0175295,2.205658,-4.5734043,-28.648577,-15.0388565,-28.60891,-32.622948,-70.11508,0.5443821,22.636229,4.6703796,-8.911737,-55.82463,-29.397371,-55.923584
ICHEC-EC-EARTH_rcp85_r1i1p1_DMI-HIRHAM5_SC_5,NA,rcp85,DMI,SC,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EC-EARTH_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MOHC-HadGEM2-ES_rcp26_r1i1p1_DMI-HIRHAM5_IP_1,NA,rcp26,DMI,IP,1,0.37465084,2.6347826,280.01123,0.17865059,0.59776706,0.16953482,2.5236971,281.43372,0.095531724,0.31969312,0.17879845,2.8365746,281.48196,0.09210307,0.3082941,HadGEM2-ES_r1,-0.20511602,-54.748585,-0.111085415,-4.216113,1.4224854,-0.08311886,-46.52594,-0.27807394,-46.51878,-0.19585238,-52.275974,0.201792,7.658772,1.4707336,-0.08654752,-48.445133,-0.28947297,-48.425713
MOHC-HadGEM2-ES_rcp85_r1i1p1_IPSL-WRF381P_AL_5,NA,rcp85,IPSL,AL,5,734.872,6.697209,263.11148,30.386316,100.46919,739.7045,7.474045,264.49045,30.099844,99.53096,563.1847,7.093714,267.22815,29.034733,95.99161,HadGEM2-ES_r1,4.8325195,0.65760016,0.7768359,11.599399,1.3789673,-0.28647232,-0.9427675,-0.9382324,-0.9338509,-171.68732,-23.362888,0.39650536,5.920457,4.1166687,-1.3515835,-4.448001,-4.477585,-4.4566746
NCC-NorESM1-M_rcp26_r1i1p1_ICTP-RegCM4-6_AL_1,NA,rcp26,ICTP,AL,1,9.375035,3.605733,276.01953,4.996154,16.635532,4.921632,3.701245,277.12897,3.0901256,10.313387,4.8390946,3.7724833,277.21292,3.1268866,10.410558,NorESM1-M_r1,-4.4534035,-47.50279,0.09551215,2.648897,1.109436,-1.9060283,-38.149914,-6.3221455,-38.003864,-4.5359406,-48.383183,0.16675043,4.624592,1.1933899,-1.8692672,-37.414127,-6.2249746,-37.41975
NOAA-GFDL-GFDL-ESM2G_rcp26_r1i1p1_GERICS-REMO2015_SC_2,NA,rcp26,GERICS,SC,2,290.40323,3.1083343,262.58264,27.855505,92.19641,250.40022,2.8313885,262.91312,27.19244,90.01452,269.73642,3.064648,262.59537,27.592297,91.34385,GFDL-ESM2G_r1,-40.003006,-13.774986,-0.27694583,-8.909783,0.33047485,-0.66306496,-2.3803732,-2.1818924,-2.3665698,-20.66681,-7.1165905,-0.04368639,-1.4054599,0.01272583,-0.2632084,-0.9449062,-0.85256195,-0.92472357
ICHEC-EC-EARTH_rcp85_r3i1p1_KNMI-RACMO22E_IP_3,NA,rcp85,KNMI,IP,3,153.39041,3.947872,271.48807,19.11449,63.394062,107.75687,3.8081353,272.95483,15.765464,52.350033,40.144188,3.657872,275.54037,9.090607,30.277836,EC-EARTH_r3,-45.633545,-29.749933,-0.13973665,-3.5395436,1.4667664,-3.3490267,-17.52088,-11.044029,-17.421236,-113.24622,-73.82875,-0.28999996,-7.345729,4.052307,-10.023884,-52.44128,-33.116226,-52.238686
MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4_EA_mean,NA,rcp85,SMHI,EA,mean,6.179096,1.8031199,274.89743,4.7982197,15.99932,3.2399375,2.0529256,276.81824,2.5477474,8.494506,0.97823775,2.29311,279.50192,0.7227063,2.4092503,HadGEM2-ES_r1,-2.9391587,-47.56616,0.24980569,13.85408,1.9208069,-2.2504723,-46.902233,-7.504814,-46.907085,-5.2008586,-84.1686,0.48999,27.174566,4.604492,-4.0755134,-84.938034,-13.59007,-84.94154
MPI-M-MPI-ESM-LR_rcp26_r1i1p1_CLMcom-BTU-CCLM4-8-17_EU_2,NA,rcp26,CLMcom,EU,2,75.74246,4.4496527,273.50833,10.645039,35.272297,65.363884,4.552237,274.47925,9.301319,30.811909,63.805996,4.6208544,274.33975,9.245025,30.6291,MPI-ESM-LR_r1,-10.378578,-13.702456,0.10258436,2.3054464,0.97091675,-1.3437195,-12.622965,-4.460388,-12.645585,-11.936466,-15.759279,0.1712017,3.8475296,0.8314209,-1.4000139,-13.151797,-4.643196,-13.163861
IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-WRF381P_EU_1,NA,rcp85,IPSL,EU,1,67.94305,3.1262188,272.9773,12.0042715,39.756817,59.10231,3.232195,274.8434,10.198563,33.800797,43.515903,3.1742506,277.89777,7.0777864,23.43804,IPSL-CM5A-MR_r1,-8.840736,-13.011981,0.105976105,3.3899133,1.8661194,-1.8057089,-15.04222,-5.9560204,-14.981131,-24.427143,-35.95238,0.048031807,1.5364186,4.920471,-4.926485,-41.039433,-16.318777,-41.046486
MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_EU_4,NA,rcp85,CLMcom,EU,4,468.83438,6.385622,267.09192,28.972506,95.8857,386.26044,6.4999638,268.02142,28.12749,93.106,255.22571,6.7986617,270.32288,24.585442,81.42366,MPI-ESM-LR_r1,-82.573944,-17.612604,0.114341736,1.7906123,0.9295044,-0.8450165,-2.916615,-2.7796936,-2.8989658,-213.60867,-45.56165,0.41303968,6.4682765,3.230957,-4.387064,-15.142162,-14.462036,-15.08258
MOHC-HadGEM2-ES_rcp85_r1i1p1_ICTP-RegCM4-6_SC_4,NA,rcp85,ICTP,SC,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,HadGEM2-ES_r1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_KNMI-RACMO22E_AL_0,NA,rcp45,KNMI,AL,0,12.982652,2.9936774,274.98352,7.11264,23.645851,5.8944077,3.0839534,276.39215,4.057352,13.469958,3.9534967,3.4197028,277.74783,2.8896375,9.639142,CNRM-CM5_r1,-7.088244,-54.597813,0.090276,3.0155556,1.4086304,-3.0552878,-42.95575,-10.175893,-43.03458,-9.029155,-69.547844,0.4260254,14.230839,2.7643127,-4.2230024,-59.373207,-14.006709,-59.23538
CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_SC_0,NA,rcp85,GERICS,SC,0,52.56976,1.7511188,266.94434,18.653936,61.81509,35.72595,1.8271624,269.16785,15.066195,49.96495,15.815501,2.0995352,272.8681,8.237382,27.37869,CNRM-CM5_r1,-16.843811,-32.040874,0.076043606,4.3425727,2.2235107,-3.5877419,-19.233162,-11.85014,-19.170301,-36.754257,-69.91521,0.34841645,19.896791,5.923767,-10.416554,-55.84105,-34.4364,-55.70873
ICHEC-EC-EARTH_rcp85_r12i1p1_IPSL-WRF381P_EU_4,NA,rcp85,IPSL,EU,4,454.97894,4.8536267,266.5346,29.368586,97.20317,381.01025,4.9199777,267.91306,28.351608,93.855286,276.8351,4.8494697,270.10168,25.207722,83.46143,EC-EARTH_r12,-73.96869,-16.257608,0.06635094,1.3670384,1.3784485,-1.0169773,-3.4628065,-3.3478851,-3.4442139,-178.14383,-39.1543,-0.0041570663,-0.08564866,3.5670776,-4.160864,-14.167737,-13.741737,-14.137129
ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E_EU_mean,NA,rcp85,KNMI,EU,mean,37.095158,2.1527202,273.10068,10.761244,35.477142,27.688412,2.3166726,274.97925,8.258358,27.172056,14.235295,2.3044078,277.44287,4.8431706,15.89984,EC-EARTH_r12,-9.406746,-25.35842,0.16395235,7.616055,1.8785706,-2.5028858,-23.258331,-8.305086,-23.409681,-22.859863,-61.624924,0.15168762,7.0463233,4.3421936,-5.918073,-54.994324,-19.577301,-55.182858
